src_link,description,Micrograph_Number,micrometer_values
https://www.doitpoms.ac.uk/miclib/micrographs/small/000153.gif,"Micrograph
153: 
Barium Titanate Ag/Pd Multilayer CapacitorSystem: 
BaTiO3Ag/Pd, 
Composition: 
BaTiO3Reflected light microscopy300 μm","Micrograph
153",300 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000154.gif,"Micrograph
154: 
Macor(TM) Machinable Glass CeramicSystem: 
MAS (MgO-Al2O3-SiO2), 
Composition: 
SiO247, B2O38, Al2O317, MgO 14, K2O 9, F 6 (wt%)Reflected light microscopy20 μm","Micrograph
154",20 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000155.gif,"Micrograph
155: 
Silica investment casting coreSystem: 
SiO2, 
Composition: 
SiO2, trace of clayReflected light microscopy300 μm","Micrograph
155",300 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000166.jpg,"Micrograph
166: 
Carbon-carbon compositeSystem: 
CCcomposite, 
Composition: 
Not specifiedReflected light microscopy250 μm","Micrograph
166",250 µm
https://www.doitpoms.ac.uk/miclib//images/tpl/uoc-logo.jpg,,,
https://www.doitpoms.ac.uk/miclib/micrographs/small/000167.jpg,"Micrograph
167: 
Carbon-carbon compositeSystem: 
CCcomposite, 
Composition: 
Not specifiedReflected light microscopy100 μm","Micrograph
167",100 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000168.jpg,"Micrograph
168: 
Carbon-carbon compositeSystem: 
CCcomposite, 
Composition: 
Not specifiedReflected light microscopy250 μm","Micrograph
168",250 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000169.jpg,"Micrograph
169: 
Carbon-carbon compositeSystem: 
CCcomposite, 
Composition: 
Not specifiedReflected light microscopy40 μm","Micrograph
169",40 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000175.jpg,"Micrograph
175: 
Concrete from a commercial paving slabSystem: 
Concrete, 
Composition: 
Aggregate, cement, waterReflected light microscopy100 μm","Micrograph
175",100 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000176.jpg,"Micrograph
176: 
Concrete from a commercial paving slabSystem: 
Concrete, 
Composition: 
Aggregate, cement, waterReflected light microscopy250 μm","Micrograph
176",250 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000177.jpg,"Micrograph
177: 
Terracotta potterySystem: 
Terracotta, 
Composition: 
Terracotta is composed of mixtures of fired grog and clay.Reflected light microscopy200 μm","Micrograph
177",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000178.jpg,"Micrograph
178: 
Terracotta pottery, showing the glaze on the surfaceSystem: 
Terracotta, 
Composition: 
Terracotta is composed of mixtures of fired grog and clay.Reflected light microscopy100 μm","Micrograph
178",100 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000179.jpg,"Micrograph
179: 
Terracotta pottery, showing the glaze on the surfaceSystem: 
Terracotta, 
Composition: 
Terracotta is composed of mixtures of fired grog and clay.Reflected light microscopy250 μm","Micrograph
179",250 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000185.jpg,"Micrograph
185: 
Silicon Nitride-bonded Silicon CarbideSystem: 
Silicon nitride-bonded silicon carbide, 
Composition: 
Particles of SiC in a reaction-bonded Si3N4matrixReflected light microscopy250 μm","Micrograph
185",250 µm
